№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
166;Дверь передняя правая;Hyundai Elantra;Б/у;Состояние/Износ - 10%. Элантра;W0992;;2000;2005;1;7000;;
167;Дверь задняя правая;Hyundai Elantra;Б/у;Состояние/Износ - 10%. Элантра хэтчбек;W0968;;2000;2005;1;6000;;
168;Дверь задняя правая;Hyundai Elantra;Б/у;Состояние/Износ - . Элантра хэтчбек;W0736;;2000;2005;1;6000;;
169;Крыло переднее правое;Hyundai Accent;Б/у;Состояние/Износ - 10%. Акцент;W0732;;2000;3000;1;500;;
170;Бампер задний в сборе 3 части;Toyota Funcargo;Б/у;Состояние/Износ - . Фанкарго рестайлинг;W0920;;1999;2005;1;3000;;
171;Дверь задняя левая в сборе;Toyota Funcargo;Б/у;Состояние/Износ - 10%. Фанкарго;W0959;;1999;2005;1;8000;;
172;Дверь передняя правая;Toyota Sprinter Carib;Б/у;Состояние/Износ - хор.. Спринтер Кариб;W0280;;1989;1992;1;4000;;
173;Дверь передняя левая;Mazda 6;Б/у;Состояние/Износ - 20%. Мазда 6;W0047;;2002;2007;1;8000;;
174;Катушка зажигания;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0717;;1991;1999;1;1000;;
175;Внутренние детали крышки багажника;Mitsubishi Outlander XL;Б/у;Состояние/Износ - хор..;W0631;;2006;3000;1;1000;;
176;Червяк рулевой рейки;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0249;;2006;3000;1;1000;;
177;Пластиковые детали салона;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0251;;2006;3000;1;1000;;
178;Радиатор печки,испаритель кондицион.;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0252;;2006;3000;1;3500;;
179;Моторчик бачка омывателя;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0253;;2006;3000;1;500;;
180;Кулак,ступица,диск торм.,левый в сборе;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0256;;2006;3000;1;7000;;
181;Трубка кондиционера;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0293;;2006;3000;1;1500;;
182;Комплект крепления заднего бампера;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0294;;2006;3000;1;1500;;
183;Управление печкой;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0295;;2006;3000;1;1500;;
184;Блок управления двигателя;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0296;;2006;3000;1;2000;;
185;Опоры заднего бампера;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0297;;2006;3000;1;1500;;
186;Моторчик печки;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0298;;2006;3000;1;3000;;
187;Трос багажника;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0299;;2006;3000;1;1500;;
188;Блок управления АКПП 1.6;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0300;;2006;3000;1;3500;;
189;Блок управления под.безопасности;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0301;;2006;3000;1;1500;;
190;Ручник;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0321;;2006;3000;1;2000;;
191;Головка блока;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0344;;2006;3000;1;8000;;
192;Центральная стойка левая;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0345;;2006;3000;1;5000;;
193;Глушитель;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0347;;2006;3000;1;5000;;
194;Глушитель часть;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0355;;2006;3000;1;4000;;
195;Коллектор выпускной;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0368;;2006;3000;1;6000;;
196;Рычаг передний левый;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0369;;2006;3000;1;2500;;
197;Тяга стабилизатора поперечная;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0370;;2006;3000;1;1500;;
198;Трубка бака;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0371;;2006;3000;1;500;;
199;Пружины задние,пер. правая;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0372;;2006;3000;1;1000;;
200;Бак топливный;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0373;;2006;3000;1;3500;;
